ccode,year
830,2002
835,2002
840,2002
850,2002
860,2002
900,2002
910,2002
920,2002
935,2002
940,2002
946,2002
947,2002
950,2002
955,2002
970,2002
983,2002
986,2002
987,2002
990,2002
2,2003
20,2003
31,2003
40,2003
41,2003
42,2003
51,2003
52,2003
53,2003
54,2003
55,2003
56,2003
57,2003
58,2003
60,2003
70,2003
80,2003
90,2003
91,2003
92,2003
93,2003
94,2003
95,2003
100,2003
101,2003
110,2003
115,2003
130,2003
135,2003
140,2003
145,2003
150,2003
155,2003
160,2003
165,2003
200,2003
205,2003
210,2003
211,2003
212,2003
220,2003
221,2003
223,2003
225,2003
230,2003
232,2003
235,2003
255,2003
290,2003
305,2003
310,2003
316,2003
317,2003
325,2003
331,2003
338,2003
339,2003
343,2003
344,2003
345,2003
346,2003
349,2003
350,2003
352,2003
355,2003
359,2003
360,2003
365,2003
366,2003
367,2003
368,2003
369,2003
370,2003
371,2003
372,2003
373,2003
375,2003
380,2003
385,2003
390,2003
395,2003
402,2003
403,2003
404,2003
411,2003
420,2003
432,2003
433,2003
434,2003
435,2003
436,2003
437,2003
438,2003
439,2003
450,2003
451,2003
452,2003
461,2003
471,2003
475,2003
481,2003
482,2003
483,2003
484,2003
490,2003
500,2003
501,2003
510,2003
516,2003
517,2003
520,2003
522,2003
530,2003
531,2003
540,2003
541,2003
551,2003
552,2003
553,2003
560,2003
565,2003
570,2003
571,2003
572,2003
580,2003
581,2003
590,2003
591,2003
600,2003
615,2003
616,2003
620,2003
625,2003
630,2003
640,2003
645,2003
651,2003
652,2003
660,2003
663,2003
666,2003
670,2003
679,2003
690,2003
692,2003
694,2003
696,2003
698,2003
700,2003
701,2003
702,2003
703,2003
704,2003
705,2003
710,2003
712,2003
713,2003
731,2003
732,2003
740,2003
750,2003
760,2003
770,2003
771,2003
775,2003
780,2003
781,2003
790,2003
800,2003
811,2003
812,2003
816,2003
820,2003
830,2003
835,2003
840,2003
850,2003
860,2003
900,2003
910,2003
920,2003
935,2003
940,2003
946,2003
947,2003
950,2003
955,2003
970,2003
983,2003
986,2003
987,2003
990,2003
2,2004
20,2004
31,2004
40,2004
41,2004
42,2004
51,2004
52,2004
53,2004
54,2004
55,2004
56,2004
57,2004
58,2004
60,2004
70,2004
80,2004
90,2004
91,2004
92,2004
93,2004
94,2004
95,2004
100,2004
101,2004
110,2004
115,2004
130,2004
135,2004
140,2004
145,2004
150,2004
155,2004
160,2004
165,2004
200,2004
205,2004
210,2004
211,2004
212,2004
220,2004
221,2004
223,2004
225,2004
230,2004
232,2004
235,2004
255,2004
290,2004
305,2004
310,2004
316,2004
317,2004
325,2004
331,2004
338,2004
339,2004
343,2004
344,2004
345,2004
346,2004
349,2004
350,2004
352,2004
355,2004
359,2004
360,2004
365,2004
366,2004
367,2004
368,2004
369,2004
370,2004
371,2004
372,2004
373,2004
375,2004
380,2004
385,2004
390,2004
395,2004
402,2004
403,2004
404,2004
411,2004
420,2004
432,2004
433,2004
434,2004
435,2004
436,2004
437,2004
438,2004
439,2004
450,2004
451,2004
452,2004
461,2004
471,2004
475,2004
481,2004
482,2004
483,2004
484,2004
490,2004
500,2004
501,2004
510,2004
516,2004
517,2004
520,2004
522,2004
530,2004
531,2004
540,2004
541,2004
551,2004
552,2004
553,2004
560,2004
565,2004
570,2004
571,2004
572,2004
580,2004
581,2004
590,2004
591,2004
600,2004
615,2004
616,2004
620,2004
625,2004
630,2004
640,2004
645,2004
651,2004
652,2004
660,2004
663,2004
666,2004
670,2004
679,2004
690,2004
692,2004
694,2004
696,2004
698,2004
700,2004
701,2004
702,2004
703,2004
704,2004
705,2004
710,2004
