ccode,year,ingo_uia,polity2,xrcomp,xropen,xconst,parcomp,physint,disap,kill,polpris,tort,injud,amnesty,pop,gdppc,rentspc,military,execrlc,trade_gdp,fdi_net_in,public_trial,fair_trial,final_decision,legislative_ck,structad,imfstruct,wbimfstruct,britcol,common,hr_law,cat_ratify,cpr_ratify,ythblgap,latent,latent_sd,cwar,iwar,aibr_lag,ainr_lag,avmdia_lag,hro_shaming_lag,physint_lag,amnesty_lag,disap_lag,kill_lag,polpris_lag,tort_lag,latent_lag
52,1992,6.042632833682381,9,3,4,7,4,6,2,1,2,1,2,1,7.076822720097676,9.062683395677364,6.885556911877269,0,1,4.317466852730875,3.21544790267944,1,1,0,-1,0,0,0,1,1,0,0,1,26.8999996185303,0.557700048017664,0.221990549656501,0,0,2,0,0.0,0,5,2,1,1,2,1,0.453796320113916
52,1993,6.07073772800249,9,3,4,7,4,6,2,1,2,1,2,2,7.069278713138808,9.059061564373351,6.6065922011186755,0,1,4.419377554605772,8.27134704589844,1,1,0,-1,0,0,0,1,1,0,0,1,26.8999996185303,0.58706986785988,0.217481615268531,0,0,3,0,0.0,0,6,1,2,1,2,1,0.557700048017664
52,1994,6.089044875446846,9,3,4,7,4,5,2,2,1,0,2,1,7.0622259076203155,9.164158204026238,6.543259390884148,0,1,4.36603284750961,10.433666229248,1,1,0,-1,0,0,0,1,1,0,0,1,26.7999992370605,0.746926909753375,0.229815341156827,0,0,7,0,0.0,0,6,2,2,1,2,1,0.58706986785988
52,1995,6.089044875446846,9,3,4,7,4,5,2,1,2,0,2,2,7.056571757218694,9.212850219671738,6.561201411628538,0,1,4.532477251296523,5.60934972763062,1,1,0,-1,0,0,0,1,1,0,0,1,26.7999992370605,0.924635190816826,0.233939336313938,0,0,2,5,0.0,0,5,1,2,2,1,0,0.746926909753375
52,1996,6.131226489483141,9,3,4,7,4,7,2,2,2,1,2,1,7.048620959839899,9.240364114659856,6.745873927667968,0,3,4.530523374745103,6.17063283920288,1,1,0,-1,0,0,0,1,1,0,0,1,26.8999996185303,1.13651096509582,0.238724110379898,0,0,1,0,0.0,0,5,2,2,1,2,0,0.924635190816826
52,1997,6.131226489483141,10,3,4,7,5,8,2,2,2,2,2,2,7.040080945010402,9.274572596209646,6.66443541147916,0,3,4.711317592893508,17.4170608520508,1,1,0,-1,0,0,0,1,1,0,0,1,27.1000003814697,1.38716505379058,0.247326328940907,0,0,1,0,0.0,1,7,1,2,2,2,1,1.13651096509582
52,1998,6.111467339502679,10,3,4,7,5,8,2,2,2,2,2,2,7.035022090026947,9.261260646800586,6.129397079573349,0,3,4.627745765513544,12.0748262405396,1,1,0,-1,0,0,0,1,1,0,0,1,27.2000007629395,1.51125826547277,0.253685416815908,0,0,2,0,0.0,0,8,2,2,2,2,2,1.38716505379058
52,1999,6.131226489483141,10,3,4,7,5,7,2,2,2,1,2,2,7.0307955820698655,9.39611678720125,6.532169208261499,0,3,4.54525774813814,9.44782257080078,1,1,0,-1,0,0,0,1,1,0,0,1,27.2999992370605,1.51857930215711,0.249496414600913,0,0,3,4,0.0,0,8,2,2,2,2,2,1.51125826547277
70,1981,6.508769136971682,-3,1,4,3,3,1,0,0,0,1,1,3,11.152045262742847,8.484990196376138,6.828739484241977,0,3,3.150361065865181,1.23079121112823,2,0,0,0,0,0,0,0,0,0,0,1,36.0,-0.999648109883731,0.207212231325972,0,0,1,2,0.0,0,8,3,2,2,2,0,-1.632869827659
70,1982,6.826545223556594,-3,1,4,3,3,4,1,1,1,1,1,3,11.175028533953748,8.529048637078285,6.865210992231199,0,3,3.2444134172766175,1.09428429603577,2,0,0,0,0,0,0,0,0,0,0,1,35.9000015258789,-0.90531255623341,0.199973796204126,0,0,3,0,0.0,0,1,3,0,0,0,1,-0.999648109883731
